MORA60;Edad;Ingreso_Mensual;Max_Calif;Nivel_Educativo;Situacion_Casa
0;30;8239;0;TECNICO;FAMILIAR
0;30;10806.83;0;TECNICO;FAMILIAR
0;30;10834.91;0;PROFESIONAL;FAMILIAR
1;30;3500;0;PROFESIONAL;FAMILIAR
1;30;3000;0;TECNICO;PROPIA
0;31;1550.89;0;PROFESIONAL;FAMILIAR
1;31;3518;1;PROFESIONAL;FAMILIAR
1;31;2261.6;4;TECNICO;FAMILIAR
1;31;4250;0;TECNICO;PROPIA
1;31;2400;2;PROFESIONAL;FAMILIAR
0;32;2850;1;TECNICO;FAMILIAR
0;32;4500;0;PROFESIONAL;FAMILIAR
0;32;5342.36;0;TECNICO;FAMILIAR
0;32;14095.45;0;PROFESIONAL;FAMILIAR
1;32;1610.16;1;TECNICO;FAMILIAR
1;32;2000;1;TECNICO;FAMILIAR
1;32;1800;1;PROFESIONAL;FAMILIAR
1;32;1015.71;1;TECNICO;FAMILIAR
1;32;5331;1;PROFESIONAL;FAMILIAR
1;32;5500;0;PROFESIONAL;PROPIA
1;32;2353;0;PROFESIONAL;FAMILIAR
1;32;6800;1;PROFESIONAL;PROPIA
1;32;6800;1;PROFESIONAL;PROPIA
0;33;6800;0;PROFESIONAL;FAMILIAR
0;33;13216.17;0;PROFESIONAL;FAMILIAR
1;33;5845.5;0;PROFESIONAL;PROPIA
1;33;6495;1;PROFESIONAL;FAMILIAR
1;34;4000;1;TECNICO;FAMILIAR
1;34;12754;4;PROFESIONAL;FAMILIAR
1;34;12754;4;PROFESIONAL;FAMILIAR
1;34;11000;0;PROFESIONAL;FAMILIAR
0;35;1400;0;TECNICO;FAMILIAR
0;35;2000;0;PROFESIONAL;FAMILIAR
0;35;5500;0;EDUCACION BASICA;FAMILIAR
1;35;12408.03;0;PROFESIONAL;FAMILIAR
1;35;3300;1;PROFESIONAL;FAMILIAR
1;35;1850;0;PROFESIONAL;PROPIA
1;36;3000;2;TECNICO;FAMILIAR
1;36;1530;2;TECNICO;FAMILIAR
1;36;1760;1;TECNICO;FAMILIAR
1;36;4200;0;PROFESIONAL;FAMILIAR
1;36;4200;0;PROFESIONAL;FAMILIAR
0;37;1700;0;TECNICO;PROPIA
0;37;1650;0;TECNICO;FAMILIAR
0;37;5000;0;PROFESIONAL;OTRAS
1;37;1800;0;TECNICO;PROPIA
1;37;7800;0;PROFESIONAL;FAMILIAR
0;38;3800;1;TECNICO;FAMILIAR
0;38;5712.49;0;PROFESIONAL;PROPIA
1;38;1749.61;0;TECNICO;FAMILIAR
1;38;5589.6;2;PROFESIONAL;FAMILIAR
0;39;8000;0;SUPERIOR;FAMILIAR
0;39;7945.3;1;PROFESIONAL;FAMILIAR
